001ANDRE LUIZ                    TURMA A
002KELVIN SILVA                  TURMA B
002DENARI                        TURMA C
003JOAO PEDRO                    TURMA C
004RENATO                        TURMA C
005RONAN VICO                    TURMA B
005EDNA ARAUJO                   TURMA AD
006RICARDO                       TURMA D
007EDUARDO DAMASCENO             TURMA A
007MARILEIDE                     TURMA D
008MARICLEIDE                    TURMA D
009CINTHIA SARAIVA               TURMA C
009REJANI                        TURMA AD
010LUCAR TORRES                  TURMA E
011HIROMASA NAGATA               TURMA C
011MATHEUS DANTE                 TURMA C
012HIROGATA NAMASA               TURMA C
013NAGAMASA HIROTA               TURMA C
021LUANA TORRES                  TURMA C
032LEANDRO RAMATHIS              TURMA D
045NEUSA TRINDADE                TURMA D
061ROBARO MIAKOMBI               TURMA C
075CAMILA ARAUJO                 TURMA A
076WAGNER MICHELETTI             TURMA D
087ANA BATRIZ                    TURMA B
088LINDOYA DE LARANJA            TURMA B
089EDSON MICHELETTI              TURMA B
092A ULTIMA PESSOA DO ARQB       TURMA B
099SCARLETT JOHANSON             TURMA A
100ANDRE LUIZ MARQUES            TURMA A
